match_no,team,gk_total_involvements,gk_line_breaks,gk_distribution_page_no,gk_distribution_values_json,gk_attempts_on_goal_faced,gk_save_pct,gk_attempts_faced_table,gk_total_goal_interventions,gk_save_retain,gk_deflect_retain,gk_save_deflect,gk_save_attempt,gk_no_save_attempt,gk_goal_prevention_page_no,player_match_id,squad_no,player_name,position_group,minutes_played_est,gk_mapping_note
19,Argentina,50.0,16.0,32,"[""16"", ""40"", ""1"", ""0""]",7.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,6.0,34,M019_argentina_23,23,Emiliano MARTINEZ,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
19,Algeria,49.0,5.0,33,"[""5"", ""37"", ""0"", ""2""]",10.0,50.0,10.0,4.0,1.0,0.0,3.0,2.0,4.0,35,M019_algeria_23,23,Luca ZIDANE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
20,Austria,46.0,11.0,32,"[""11"", ""30"", ""1"", ""0""]",11.0,67.0,11.0,3.0,1.0,0.0,2.0,3.0,5.0,34,M020_austria_01,1,Alexander SCHLAGER,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
20,Jordan,42.0,14.0,33,"[""14"", ""25"", ""1"", ""1""]",11.0,33.0,11.0,1.0,0.0,0.0,1.0,1.0,9.0,35,M020_jordan_01,1,YAZEED ABULAILA,GK,81,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
21,Ghana,44.0,12.0,32,"[""12"", ""18"", ""3"", ""4""]",11.0,100.0,11.0,4.0,3.0,0.0,1.0,2.0,5.0,34,M021_ghana_16,16,Benjamin ASARE,GK,54,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
21,Panama,43.0,6.0,33,"[""6"", ""30"", ""0"", ""3""]",7.0,50.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,35,M021_panama_22,22,Orlando MOSQUERA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
22,England,76.0,19.0,33,"[""19"", ""55"", ""1"", ""6""]",10.0,60.0,10.0,4.0,1.0,0.0,3.0,2.0,4.0,35,M022_england_01,1,Jordan PICKFORD,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
22,Croatia,66.0,19.0,34,"[""19"", ""35"", ""0"", ""4""]",22.0,64.0,22.0,8.0,0.0,0.0,8.0,4.0,10.0,36,M022_croatia_01,1,Dominik LIVAKOVIC,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
23,Portugal,44.0,9.0,32,"[""9"", ""29"", ""0"", ""5""]",8.0,50.0,8.0,1.0,1.0,0.0,0.0,2.0,5.0,34,M023_portugal_01,1,DIOGO COSTA,GK,92,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
23,Congo DR,44.0,16.0,33,"[""16"", ""23"", ""2"", ""5""]",8.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,6.0,35,M023_congodr_01,1,Lionel MPASI,GK,85,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
24,Uzbekistan,50.0,12.0,32,"[""12"", ""22"", ""1"", ""6""]",15.0,25.0,15.0,3.0,1.0,0.0,2.0,3.0,9.0,34,M024_uzbekistan_01,1,Utkir YUSUPOV,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
24,Colombia,50.0,14.0,33,"[""14"", ""38"", ""0"", ""2""]",8.0,50.0,8.0,1.0,0.0,0.0,1.0,2.0,5.0,35,M024_colombia_12,12,Camilo VARGAS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
25,Czechia,46.0,11.0,32,"[""11"", ""24"", ""0"", ""3""]",17.0,75.0,17.0,3.0,3.0,0.0,0.0,1.0,13.0,34,M025_czechia_01,1,Matej KOVAR,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
25,South Africa,81.0,23.0,33,"[""23"", ""63"", ""1"", ""1""]",14.0,67.0,14.0,2.0,1.0,0.0,1.0,1.0,11.0,35,M025_southafrica_01,1,Ronwen WILLIAMS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
26,Switzerland,45.0,16.0,32,"[""16"", ""36"", ""0"", ""2""]",5.0,67.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,34,M026_switzerland_01,1,Gregor KOBEL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
26,Bosnia and Herzegovina,60.0,18.0,33,"[""18"", ""34"", ""4"", ""4""]",13.0,43.0,13.0,5.0,2.0,0.0,3.0,5.0,3.0,35,M026_bosniaandherzegovina_01,1,Nikola VASILJ,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
27,Canada,21.0,1.0,33,"[""1"", ""16"", ""0"", ""2""]",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,35,M027_canada_16,16,Maxime CREPEAU,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
27,Qatar,78.0,22.0,34,"[""22"", ""24"", ""6"", ""1""]",35.0,44.0,35.0,7.0,0.0,0.0,7.0,2.0,26.0,36,M027_qatar_01,1,MAHMOUD ABUNADA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
28,Mexico,48.0,18.0,32,"[""18"", ""31"", ""1"", ""3""]",9.0,100.0,9.0,2.0,1.0,0.0,1.0,0.0,7.0,34,M028_mexico_01,1,Raul RANGEL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
28,Korea Republic,50.0,15.0,33,"[""15"", ""35"", ""0"", ""6""]",8.0,75.0,8.0,5.0,3.0,0.0,2.0,1.0,2.0,35,M028_korearepublic_01,1,KIM Seunggyu,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
29,Brazil,44.0,8.0,32,"[""8"", ""29"", ""0"", ""5""]",7.0,100.0,7.0,3.0,0.0,0.0,3.0,0.0,4.0,34,M029_brazil_01,1,ALISSON,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
29,Haiti,44.0,20.0,33,"[""20"", ""31"", ""1"", ""2""]",8.0,50.0,8.0,2.0,1.0,0.0,1.0,3.0,3.0,35,M029_haiti_01,1,Johny PLACIDE,GK,45,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
30,Scotland,52.0,7.0,32,"[""7"", ""28"", ""0"", ""7""]",12.0,50.0,12.0,1.0,0.0,0.0,1.0,4.0,7.0,34,M030_scotland_01,1,Angus GUNN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
30,Morocco,47.0,11.0,33,"[""11"", ""32"", ""5"", ""2""]",6.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,35,M030_morocco_01,1,Yassine BOUNOU,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
31,Türkiye,39.0,7.0,33,"[""7"", ""30"", ""0"", ""1""]",7.0,50.0,7.0,1.0,0.0,0.0,1.0,1.0,5.0,35,M031_turkiye_23,23,Ugurcan CAKIR,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
31,Paraguay,74.0,27.0,34,"[""27"", ""29"", ""6"", ""0""]",34.0,100.0,34.0,7.0,3.0,0.0,4.0,5.0,22.0,36,M031_paraguay_12,12,Orlando GILL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
32,USA,33.0,14.0,32,"[""14"", ""24"", ""1"", ""3""]",5.0,100.0,5.0,2.0,2.0,0.0,0.0,0.0,3.0,34,M032_usa_24,24,Matt FREESE,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
32,Australia,33.0,11.0,33,"[""11"", ""14"", ""0"", ""4""]",11.0,50.0,11.0,1.0,1.0,0.0,0.0,3.0,7.0,35,M032_australia_18,18,Patrick BEACH,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
33,Germany,34.0,8.0,32,"[""8"", ""19"", ""0"", ""5""]",9.0,50.0,9.0,1.0,1.0,0.0,0.0,1.0,7.0,34,M033_germany_01,1,Manuel NEUER,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
33,Côte d'Ivoire,63.0,21.0,33,"[""21"", ""30"", ""7"", ""3""]",16.0,71.0,16.0,3.0,1.0,2.0,2.0,2.0,9.0,35,M033_cotedivoire_01,1,Yahia FOFANA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
34,Ecuador,33.0,4.0,33,"[""4"", ""13"", ""2"", ""5""]",11.0,100.0,11.0,6.0,1.0,0.0,5.0,0.0,5.0,35,M034_ecuador_01,1,Hernan GALINDEZ,GK,91,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
34,Curaçao,70.0,25.0,34,"[""25"", ""24"", ""6"", ""6""]",30.0,100.0,30.0,15.0,7.0,2.0,7.0,1.0,13.0,36,M034_curacao_01,1,Eloy ROOM,GK,75,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
35,Netherlands,53.0,15.0,32,"[""15"", ""33"", ""2"", ""0""]",16.0,88.0,16.0,8.0,3.0,0.0,5.0,3.0,5.0,34,M035_netherlands_01,1,Bart VERBRUGGEN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
35,Sweden,50.0,13.0,33,"[""13"", ""33"", ""1"", ""3""]",10.0,29.0,10.0,2.0,2.0,0.0,0.0,4.0,4.0,35,M035_sweden_23,23,Kristoffer NORDFELDT,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
36,Tunisia,38.0,15.0,32,"[""15"", ""22"", ""1"", ""0""]",11.0,25.0,11.0,2.0,0.0,0.0,2.0,4.0,5.0,34,M036_tunisia_16,16,Aymen DAHMEN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
36,Japan,28.0,4.0,33,"[""4"", ""19"", ""0"", ""3""]",3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,35,M036_japan_01,1,Zion SUZUKI,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
37,Uruguay,39.0,7.0,32,"[""7"", ""21"", ""1"", ""3""]",12.0,50.0,12.0,2.0,2.0,0.0,0.0,1.0,9.0,34,M037_uruguay_23,23,Fernando MUSLERA,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
37,Cabo Verde,60.0,16.0,33,"[""16"", ""28"", ""2"", ""5""]",17.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,14.0,35,M037_caboverde_01,1,VOZINHA,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
38,Spain,40.0,9.0,33,"[""9"", ""28"", ""0"", ""7""]",3.0,100.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,35,M038_spain_23,23,Unai SIMON,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
38,Saudi Arabia,65.0,17.0,34,"[""17"", ""34"", ""0"", ""3""]",23.0,62.0,23.0,6.0,1.0,0.0,5.0,5.0,12.0,36,M038_saudiarabia_21,21,MOHAMMED ALOWAIS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
39,Belgium,39.0,12.0,33,"[""12"", ""21"", ""1"", ""6""]",7.0,100.0,7.0,2.0,0.0,1.0,2.0,0.0,4.0,35,M039_belgium_01,1,Thibaut COURTOIS,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
39,IR Iran,66.0,24.0,34,"[""24"", ""27"", ""7"", ""3""]",23.0,100.0,23.0,6.0,2.0,1.0,4.0,2.0,14.0,36,M039_iriran_01,1,Alireza BEIRANVAND,GK,45,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
40,New Zealand,62.0,18.0,33,"[""18"", ""25"", ""5"", ""4""]",19.0,57.0,19.0,3.0,0.0,2.0,3.0,1.0,13.0,35,M040_newzealand_01,1,Max CROCOMBE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
40,Egypt,38.0,5.0,34,"[""5"", ""16"", ""1"", ""2""]",11.0,80.0,11.0,4.0,0.0,0.0,4.0,2.0,5.0,36,M040_egypt_23,23,MOSTAFA SHOUBIR,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
41,Norway,65.0,30.0,32,"[""30"", ""37"", ""3"", ""5""]",16.0,50.0,16.0,3.0,2.0,0.0,1.0,3.0,10.0,34,M041_norway_01,1,Orjan NYLAND,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
41,Senegal,46.0,11.0,33,"[""11"", ""27"", ""2"", ""2""]",13.0,50.0,13.0,5.0,1.0,0.0,4.0,2.0,6.0,35,M041_senegal_16,16,Edouard MENDY,GK,72,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
42,France,17.0,1.0,33,"[""1"", ""10"", ""0"", ""2""]",4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,35,M042_france_16,16,Mike MAIGNAN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
42,Iraq,71.0,16.0,34,"[""16"", ""41"", ""2"", ""4""]",19.0,40.0,19.0,3.0,1.0,0.0,2.0,3.0,13.0,36,M042_iraq_22,22,AHMED BASIL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
43,Argentina,36.0,9.0,32,"[""9"", ""22"", ""2"", ""2""]",6.0,100.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,34,M043_argentina_23,23,Emiliano MARTINEZ,GK,92,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
43,Austria,42.0,5.0,33,"[""5"", ""27"", ""1"", ""0""]",13.0,50.0,13.0,3.0,0.0,0.0,3.0,5.0,5.0,35,M043_austria_01,1,Alexander SCHLAGER,GK,92,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
44,Jordan,46.0,16.0,32,"[""16"", ""13"", ""5"", ""4""]",17.0,75.0,17.0,7.0,3.0,0.0,4.0,1.0,9.0,34,M044_jordan_01,1,YAZEED ABULAILA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
44,Algeria,38.0,6.0,33,"[""6"", ""18"", ""0"", ""9""]",8.0,75.0,8.0,3.0,1.0,2.0,1.0,0.0,4.0,35,M044_algeria_23,23,Luca ZIDANE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
45,England,27.0,6.0,33,"[""6"", ""23"", ""0"", ""1""]",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,35,M045_england_01,1,Jordan PICKFORD,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
45,Ghana,47.0,17.0,34,"[""17"", ""23"", ""2"", ""1""]",19.0,100.0,19.0,3.0,2.0,0.0,1.0,3.0,13.0,36,M045_ghana_16,16,Benjamin ASARE,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
46,Panama,36.0,14.0,32,"[""14"", ""23"", ""0"", ""5""]",6.0,100.0,6.0,2.0,0.0,0.0,2.0,0.0,4.0,34,M046_panama_22,22,Orlando MOSQUERA,GK,92,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
46,Croatia,42.0,13.0,33,"[""13"", ""24"", ""1"", ""5""]",9.0,100.0,9.0,3.0,0.0,1.0,2.0,0.0,6.0,35,M046_croatia_01,1,Dominik LIVAKOVIC,GK,92,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
47,Portugal,29.0,5.0,32,"[""5"", ""14"", ""1"", ""3""]",7.0,100.0,7.0,1.0,1.0,1.0,0.0,1.0,4.0,34,M047_portugal_01,1,DIOGO COSTA,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
47,Uzbekistan,46.0,13.0,33,"[""13"", ""22"", ""2"", ""1""]",18.0,50.0,18.0,5.0,0.0,0.0,5.0,7.0,6.0,35,M047_uzbekistan_12,12,Abduvohid NEMATOV,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
48,Colombia,44.0,8.0,33,"[""8"", ""31"", ""0"", ""3""]",8.0,100.0,8.0,2.0,1.0,0.0,1.0,1.0,5.0,35,M048_colombia_12,12,Camilo VARGAS,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
48,Congo DR,58.0,13.0,34,"[""13"", ""28"", ""0"", ""6""]",20.0,89.0,20.0,8.0,1.0,0.0,7.0,1.0,11.0,36,M048_congodr_01,1,Lionel MPASI,GK,94,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
49,Scotland,68.0,21.0,33,"[""21"", ""35"", ""0"", ""7""]",21.0,62.0,21.0,4.0,1.0,1.0,3.0,3.0,13.0,35,M049_scotland_01,1,Angus GUNN,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
49,Brazil,39.0,5.0,34,"[""5"", ""18"", ""0"", ""5""]",14.0,100.0,14.0,5.0,3.0,0.0,2.0,1.0,8.0,36,M049_brazil_01,1,ALISSON,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
50,Morocco,34.0,6.0,33,"[""6"", ""19"", ""1"", ""2""]",10.0,50.0,10.0,2.0,1.0,0.0,1.0,1.0,7.0,35,M050_morocco_01,1,Yassine BOUNOU,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
50,Haiti,64.0,20.0,34,"[""20"", ""33"", ""2"", ""3""]",24.0,64.0,24.0,9.0,3.0,0.0,6.0,4.0,11.0,36,M050_haiti_01,1,Johny PLACIDE,GK,93,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
51,Switzerland,69.0,9.0,32,"[""9"", ""46"", ""0"", ""6""]",13.0,86.0,13.0,5.0,3.0,1.0,2.0,0.0,7.0,34,M051_switzerland_01,1,Gregor KOBEL,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
51,Canada,32.0,12.0,33,"[""12"", ""18"", ""3"", ""2""]",6.0,50.0,6.0,3.0,1.0,0.0,2.0,1.0,2.0,35,M051_canada_16,16,Maxime CREPEAU,GK,90,team_goalkeeper_stats_assigned_to_gk_with_most_minutes
