player_name,team,position_group,minutes_total,gk_volume_faced_proxy,gk_save_actions_proxy,gk_efficiency_pct_proxy,volume_defensivo_gk_index,eficiencia_gk_index,distribuicao_gk_index,pressao_sofrida_gk_index,gk_matches_pdf,gk_gk_total_involvements_sum_pdf,gk_gk_line_breaks_sum_pdf,gk_gk_distribution_page_no_sum_pdf,gk_gk_attempts_on_goal_faced_sum_pdf,gk_gk_save_pct_mean_pdf,gk_gk_attempts_faced_table_sum_pdf,gk_gk_total_goal_interventions_sum_pdf,gk_gk_save_retain_sum_pdf,gk_gk_deflect_retain_sum_pdf,gk_gk_save_deflect_sum_pdf,gk_gk_save_attempt_sum_pdf,gk_gk_no_save_attempt_sum_pdf,gk_gk_goal_prevention_page_no_sum_pdf,gk_squad_no_sum_pdf,gk_minutes_played_est_sum_pdf,gk_active_matches_pdf,gk_active_minutes_pdf,gk_matches_pdf_per90,gk_gk_total_involvements_sum_pdf_per90,gk_gk_line_breaks_sum_pdf_per90,gk_gk_distribution_page_no_sum_pdf_per90,gk_gk_attempts_on_goal_faced_sum_pdf_per90,gk_gk_save_pct_mean_pdf_per90,gk_gk_attempts_faced_table_sum_pdf_per90,gk_gk_total_goal_interventions_sum_pdf_per90,gk_gk_save_retain_sum_pdf_per90,gk_gk_deflect_retain_sum_pdf_per90,gk_gk_save_deflect_sum_pdf_per90,gk_gk_save_attempt_sum_pdf_per90,gk_gk_no_save_attempt_sum_pdf_per90,gk_gk_goal_prevention_page_no_sum_pdf_per90,gk_squad_no_sum_pdf_per90,gk_minutes_played_est_sum_pdf_per90,gk_active_matches_pdf_per90,gk_active_minutes_pdf_per90,gk_matches_pdf_per90__dup1,gk_gk_total_involvements_sum_pdf_per90__dup1,gk_gk_line_breaks_sum_pdf_per90__dup1,gk_gk_distribution_page_no_sum_pdf_per90__dup1,gk_gk_attempts_on_goal_faced_sum_pdf_per90__dup1,gk_gk_save_pct_mean_pdf_per90__dup1,gk_gk_attempts_faced_table_sum_pdf_per90__dup1,gk_gk_total_goal_interventions_sum_pdf_per90__dup1,gk_gk_save_retain_sum_pdf_per90__dup1,gk_gk_deflect_retain_sum_pdf_per90__dup1,gk_gk_save_deflect_sum_pdf_per90__dup1,gk_gk_save_attempt_sum_pdf_per90__dup1,gk_gk_no_save_attempt_sum_pdf_per90__dup1,gk_gk_goal_prevention_page_no_sum_pdf_per90__dup1,gk_squad_no_sum_pdf_per90__dup1,gk_minutes_played_est_sum_pdf_per90__dup1,gk_active_matches_pdf_per90__dup1,gk_active_minutes_pdf_per90__dup1
Oussama BENBOT,Algeria,GK,,29.0,45.0,0.0,4.8,3.8,26.0,5.2,1.0,38.0,8.0,32.0,10.0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,7.0,34.0,16.0,90.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt TURNER,USA,GK,,27.0,45.0,0.0,3.8,3.8,30.4,3.4,1.0,48.0,11.0,34.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,6.0,36.0,1.0,90.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio ROCHET,Uruguay,GK,,20.0,42.0,0.0,1.7,2.6,7.7,1.7,1.0,46.0,22.0,32.0,7.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,34.0,1.0,49.0,1.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDALLAH ALFAKHORI,Jordan,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMED ALKASSAR,Saudi Arabia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed Reda TAGNAOUTI,Morocco,GK,,,,,,,,,,,,,,,,,,,,,,,,,2.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alban LAFONT,Côte d'Ivoire,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex PAULSEN,New Zealand,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander NUEBEL,Germany,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre PIERRE,Haiti,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altay BAYINDIR,Türkiye,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvaro MONTERO,Colombia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botirali ERGASHEV,Uzbekistan,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brice SAMBA,France,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ DOS SANTOS,Cabo Verde,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos ACEVEDO,Mexico,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar SAMUDIO,Panama,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris BRADY,USA,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig GORDON,Scotland,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David OSPINA,Colombia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David RAYA,Spain,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayne ST. CLAIR,Canada,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean HENDERSON,England,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik KOTARSKI,Croatia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDERSON,Brazil,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAHAD TALIB,Iraq,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian WIEGELE,Austria,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaston OLVEIRA,Paraguay,GK,,,,,,,,,,,,,,,,,,,,,,,,,3.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatito FERNANDEZ,Paraguay,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geronimo RULLI,Argentina,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo VALLE,Ecuador,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo OCHOA,Mexico,GK,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hossein HOSSEINI,IR Iran,GK,,,,,,,,,,,,,,,,,,,,,,,,,2.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivor PANDUR,Croatia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JO Hyeonwoo,Korea Republic,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSE SA,Portugal,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James TRAFFORD,England,GK,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jindrich STANEK,Czechia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joan GARCIA,Spain,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph ANANG,Ghana,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josue DUVERGER,Haiti,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan MUSSO,Argentina,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keisuke OSAKO,Japan,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam KELLY,Scotland,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis MEJIA,Panama,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas HORNICEK,Czechia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHDY SOLIMAN,Egypt,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCIO ROSA,Cabo Verde,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESHAAL BARSHAM,Qatar,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOHAMED ALAA,Egypt,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOHAMED ELSHENAWY,Egypt,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark FLEKKEN,Netherlands,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin ZLOMISLIC,Bosnia and Herzegovina,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin KELLER,Switzerland,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathew RYAN,Australia,GK,,,,,,,1.6,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthieu EPOLO,Congo DR,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin MASTIL,Algeria,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mert GUNOK,Türkiye,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael WOUD,New Zealand,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike PENDERS,Belgium,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mladen JURKAS,Bosnia and Herzegovina,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed KONE,Côte d'Ivoire,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moises RAMIREZ,Ecuador,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munir EL KAJOUI,Morocco,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAWAF ALAQIDI,Saudi Arabia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOUR BANIATEYAH,Jordan,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver BAUMANN,Germany,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen GOODMAN,Canada,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick PENTZ,Austria,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul IZZO,Australia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payam NIAZMAND,IR Iran,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUI SILVA,Portugal,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo GOSS,South Africa,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin RISSER,France,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin ROEFS,Netherlands,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALAH ZAKARIA,Qatar,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONG Bumkeun,Korea Republic,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabri BEN HESSEN,Tunisia,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sander TANGVIK,Norway,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago MELE,Uruguay,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senne LAMMENS,Belgium,GK,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sipho CHAINE,South Africa,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy FAYULU,Congo DR,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomoki HAYAKAWA,Japan,GK,,,,,,,,,,,,,,,,,,,,,,,,,3.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor DOORNBUSCH,Curaçao,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrick BODAK,Curaçao,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor JOHANSSON,Sweden,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEVERTON,Brazil,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yehvann DIOUF,Senegal,GK,,,,,,,,,,,,,,,,,,,,,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yvon MVOGO,Switzerland,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
